=== Recapitulatif Tournoi IA ===
Date: 2026-05-10 13:32:39
IA Joueur 1: IADIFFICILE
IA Joueur 2: IAMOYENNE
Profondeur J1: 3 | Profondeur J2: 4
Nombre de combats: 100/100
Tours max par combat: 30

Victoires J1: 56
Defaites J1: 44
Victoires J2: 44
Defaites J2: 56
Matchs nuls: 0
Temps total tournoi: 244,019 s
Temps moyen coup J1 (IADIFFICILE): 8,725 ms
Temps moyen coup J2 (IAMOYENNE): 207,407 ms
Temps moyen coup global: 106,078 ms

=== Details par combat ===
Combat 32 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=15 | duree=1,378 s | avgCoupJ1=7,798 | avgCoupJ2=187,918
Combat 33 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=21 | duree=2,597 s | avgCoupJ1=9,444 | avgCoupJ2=249,289
Combat 34 | issue=J1 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=1,903 s | avgCoupJ1=8,291 | avgCoupJ2=163,944
Combat 35 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=2,169 s | avgCoupJ1=6,905 | avgCoupJ2=263,300
Combat 36 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=24 | duree=1,512 s | avgCoupJ1=7,839 | avgCoupJ2=118,129
Combat 37 | issue=J1 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=29 | duree=2,069 s | avgCoupJ1=6,356 | avgCoupJ2=140,963
Combat 38 | issue=J1 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=1,797 s | avgCoupJ1=7,916 | avgCoupJ2=129,649
Combat 39 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,432 s | avgCoupJ1=8,018 | avgCoupJ2=154,094
Combat 40 | issue=J2 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=1,431 s | avgCoupJ1=5,781 | avgCoupJ2=137,246
Combat 41 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=3,428 s | avgCoupJ1=7,881 | avgCoupJ2=255,127
Combat 42 | issue=J2 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=18 | duree=628 ms | avgCoupJ1=2,537 | avgCoupJ2=67,230
Combat 43 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=24 | duree=2,479 s | avgCoupJ1=11,055 | avgCoupJ2=195,483
Combat 44 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=12 | duree=467 ms | avgCoupJ1=3,355 | avgCoupJ2=74,483
Combat 45 | issue=J1 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=3,507 s | avgCoupJ1=8,099 | avgCoupJ2=225,646
Combat 46 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=1,580 s | avgCoupJ1=5,488 | avgCoupJ2=191,274
Combat 47 | issue=J2 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=1,780 s | avgCoupJ1=6,448 | avgCoupJ2=171,520
Combat 48 | issue=J1 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=1,649 s | avgCoupJ1=9,137 | avgCoupJ2=139,891
Combat 49 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=1,992 s | avgCoupJ1=7,150 | avgCoupJ2=125,617
Combat 50 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=4,329 s | avgCoupJ1=20,609 | avgCoupJ2=458,023
Combat 51 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=4,184 s | avgCoupJ1=7,800 | avgCoupJ2=514,160
Combat 52 | issue=J2 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=1,219 s | avgCoupJ1=6,345 | avgCoupJ2=74,869
Combat 53 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=26 | duree=1,855 s | avgCoupJ1=4,700 | avgCoupJ2=137,948
Combat 54 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=2,501 s | avgCoupJ1=8,361 | avgCoupJ2=303,248
Combat 55 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=15 | duree=1,091 s | avgCoupJ1=5,899 | avgCoupJ2=149,073
Combat 56 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=4,209 s | avgCoupJ1=8,763 | avgCoupJ2=271,827
Combat 57 | issue=J2 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=2,464 s | avgCoupJ1=10,674 | avgCoupJ2=235,726
Combat 58 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=1,815 s | avgCoupJ1=8,582 | avgCoupJ2=112,377
Combat 59 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=3,568 s | avgCoupJ1=11,493 | avgCoupJ2=226,361
Combat 60 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=26 | duree=2,900 s | avgCoupJ1=8,831 | avgCoupJ2=214,224
Combat 61 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=5,271 s | avgCoupJ1=17,276 | avgCoupJ2=334,126
Combat 62 | issue=J2 | matchup=Archère vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=12 | duree=722 ms | avgCoupJ1=7,028 | avgCoupJ2=113,379
Combat 63 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=2,663 s | avgCoupJ1=8,745 | avgCoupJ2=195,421
Combat 64 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=3,234 s | avgCoupJ1=4,587 | avgCoupJ2=354,191
Combat 65 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=2,195 s | avgCoupJ1=7,091 | avgCoupJ2=266,388
Combat 66 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=29 | duree=2,511 s | avgCoupJ1=9,055 | avgCoupJ2=169,662
Combat 67 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=12 | duree=976 ms | avgCoupJ1=5,169 | avgCoupJ2=157,487
Combat 68 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=24 | duree=4,702 s | avgCoupJ1=12,310 | avgCoupJ2=379,474
Combat 69 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=22 | duree=2,832 s | avgCoupJ1=9,770 | avgCoupJ2=247,677
Combat 70 | issue=J2 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=924 ms | avgCoupJ1=3,847 | avgCoupJ2=88,590
Combat 71 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=28 | duree=5,036 s | avgCoupJ1=7,634 | avgCoupJ2=352,031
Combat 72 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=3,354 s | avgCoupJ1=22,058 | avgCoupJ2=201,535
Combat 73 | issue=J2 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=24 | duree=2,437 s | avgCoupJ1=7,673 | avgCoupJ2=195,375
Combat 74 | issue=J1 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=15 | duree=1,754 s | avgCoupJ1=6,361 | avgCoupJ2=243,300
Combat 75 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=2,158 s | avgCoupJ1=6,779 | avgCoupJ2=188,809
Combat 76 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=12 | duree=596 ms | avgCoupJ1=6,596 | avgCoupJ2=92,818
